period_end,segment,risk_bucket_start,risk_bucket_end,term_months,exposure
2023-12-31,Retail,Prime,Prime,12,1200
2023-12-31,Retail,Prime,Watch,12,150
2023-12-31,Retail,Prime,Default,12,30
2023-12-31,Retail,Prime,Prime,24,1000
2023-12-31,Retail,Prime,Watch,24,180
2023-12-31,Retail,Prime,Default,24,40
2023-12-31,Retail,Standard,Standard,12,900
2023-12-31,Retail,Standard,Watch,12,160
2023-12-31,Retail,Standard,Default,12,60
2023-12-31,Retail,Standard,Standard,24,780
2023-12-31,Retail,Standard,Watch,24,190
2023-12-31,Retail,Standard,Default,24,90
2023-12-31,SME,Low,Low,12,600
2023-12-31,SME,Low,Elevated,12,120
2023-12-31,SME,Low,Default,12,30
2023-12-31,SME,Low,Low,36,520
2023-12-31,SME,Low,Elevated,36,150
2023-12-31,SME,Low,Default,36,55
2023-12-31,SME,High,High,12,400
2023-12-31,SME,High,Elevated,12,140
2023-12-31,SME,High,Default,12,110
2023-12-31,SME,High,High,36,360
2023-12-31,SME,High,Elevated,36,170
2023-12-31,SME,High,Default,36,150
2023-12-31,Corporate,Investment,Investment,12,1500
2023-12-31,Corporate,Investment,Speculative,12,200
2023-12-31,Corporate,Investment,Default,12,25
2023-12-31,Corporate,Investment,Investment,36,1300
2023-12-31,Corporate,Investment,Speculative,36,260
2023-12-31,Corporate,Investment,Default,36,40
2023-12-31,Corporate,Speculative,Speculative,12,700
2023-12-31,Corporate,Speculative,Investment,12,120
2023-12-31,Corporate,Speculative,Default,12,90
2023-12-31,Corporate,Speculative,Speculative,36,640
2023-12-31,Corporate,Speculative,Investment,36,160
2023-12-31,Corporate,Speculative,Default,36,130
2024-06-30,Retail,Prime,Prime,12,1180
2024-06-30,Retail,Prime,Watch,12,170
2024-06-30,Retail,Prime,Default,12,32
2024-06-30,Retail,Prime,Prime,24,980
2024-06-30,Retail,Prime,Watch,24,200
2024-06-30,Retail,Prime,Default,24,42
2024-06-30,Retail,Standard,Standard,12,880
2024-06-30,Retail,Standard,Watch,12,170
2024-06-30,Retail,Standard,Default,12,65
2024-06-30,Retail,Standard,Standard,24,760
2024-06-30,Retail,Standard,Watch,24,205
2024-06-30,Retail,Standard,Default,24,95
2024-06-30,SME,Low,Low,12,590
2024-06-30,SME,Low,Elevated,12,130
2024-06-30,SME,Low,Default,12,28
2024-06-30,SME,Low,Low,36,510
2024-06-30,SME,Low,Elevated,36,160
2024-06-30,SME,Low,Default,36,60
2024-06-30,SME,High,High,12,380
2024-06-30,SME,High,Elevated,12,150
2024-06-30,SME,High,Default,12,115
2024-06-30,SME,High,High,36,350
2024-06-30,SME,High,Elevated,36,180
2024-06-30,SME,High,Default,36,155
2024-06-30,Corporate,Investment,Investment,12,1480
2024-06-30,Corporate,Investment,Speculative,12,210
2024-06-30,Corporate,Investment,Default,12,28
2024-06-30,Corporate,Investment,Investment,36,1280
2024-06-30,Corporate,Investment,Speculative,36,270
2024-06-30,Corporate,Investment,Default,36,45
2024-06-30,Corporate,Speculative,Speculative,12,680
2024-06-30,Corporate,Speculative,Investment,12,130
2024-06-30,Corporate,Speculative,Default,12,95
2024-06-30,Corporate,Speculative,Speculative,36,620
2024-06-30,Corporate,Speculative,Investment,36,170
2024-06-30,Corporate,Speculative,Default,36,135
